player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,minutes_90s,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Tammy Abraham,eng ENG,FW,Roma,24-222,1997,35.0,34.0,2904.0,15.0,4.0,2.0,2.0,9.0,0.0,0.46,0.12,0.59,0.4,0.53,19.2,17.6,3.5,0.59,0.11,0.7,0.55,0.66,32.3,88.0,30.0,2.0,34.1,2.73,0.93,0.15,0.43,0.2,-4.2,-4.6,478.0,656.0,72.9,7326.0,1700.0,288.0,375.0,76.8,128.0,183.0,69.9,43.0,53.0,81.1,0.5,33.0,35.0,27.0,3.0,60.0,591.0,65.0,6.0,5.0,191.0,11.0,22.0,0.0,0.0,0.0,0.0,423.0,138.0,95.0,60.0,456.0,64.0,1.0,22.0,0.0,10.0,35.0,22.0,76.0,2.36,53.0,1.0,1.0,13.0,5.0,11.0,0.34,5.0,0.0,1.0,3.0,2.0,0.0,33.0,22.0,10.0,15.0,8.0,10.0,23.0,43.5,13.0,449.0,136.0,30.3,45.0,189.0,215.0,33.0,11.0,0.0,22.0,14.0,30.0,0.0,1055.0,33.0,85.0,536.0,489.0,186.0,991.0,36.0,75.0,48.0,38.0,3.0,582.0,2464.0,1249.0,79.0,26.0,22.0,1340.0,726.0,54.2,77.0,42.0,0.0,42.0,46.0,16.0,0.0,1.0,0.0,119.0,76.0,96.0,44.2
Francesco Acerbi,it ITA,DF,Lazio,34-091,1988,28.0,27.0,2356.0,4.0,0.0,0.0,0.0,1.0,1.0,0.15,0.0,0.15,0.15,0.15,2.1,2.1,0.4,0.08,0.02,0.1,0.08,0.1,26.2,14.0,5.0,0.0,35.7,0.53,0.19,0.29,0.8,0.15,1.9,1.9,1713.0,1893.0,90.5,36005.0,11092.0,536.0,574.0,93.4,883.0,937.0,94.2,272.0,348.0,78.2,-0.4,6.0,118.0,6.0,0.0,86.0,1828.0,65.0,57.0,2.0,156.0,68.0,1.0,0.0,0.0,0.0,0.0,1399.0,154.0,340.0,1442.0,325.0,71.0,1.0,5.0,1.0,19.0,24.0,11.0,18.0,0.69,14.0,1.0,0.0,1.0,2.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,21.0,10.0,16.0,5.0,0.0,6.0,17.0,35.3,11.0,155.0,46.0,29.7,83.0,61.0,11.0,48.0,30.0,0.0,18.0,47.0,112.0,1.0,2139.0,332.0,1123.0,1094.0,61.0,20.0,2079.0,3.0,4.0,75.0,3.0,0.0,1396.0,7448.0,4212.0,93.0,18.0,0.0,1566.0,1541.0,98.4,8.0,3.0,0.0,18.0,18.0,3.0,1.0,0.0,0.0,284.0,76.0,43.0,63.9
Michel Aebischer,ch SUI,MF,Bologna,25-126,1997,10.0,2.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.04,0.09,0.13,0.04,0.13,3.2,2.0,2.0,0.0,100.0,0.63,0.63,0.0,0.0,0.07,-0.1,-0.1,148.0,163.0,90.8,2450.0,597.0,75.0,79.0,94.9,53.0,60.0,88.3,14.0,17.0,82.4,-0.3,3.0,6.0,1.0,0.0,9.0,154.0,9.0,5.0,0.0,33.0,4.0,1.0,4.0,0.0,1.0,0.0,134.0,19.0,10.0,23.0,132.0,4.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,1.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,4.0,4.0,2.0,4.0,8.0,50.0,4.0,82.0,18.0,22.0,37.0,34.0,11.0,4.0,0.0,0.0,4.0,2.0,3.0,0.0,189.0,10.0,49.0,107.0,39.0,4.0,180.0,1.0,2.0,50.0,1.0,0.0,132.0,503.0,236.0,6.0,1.0,0.0,145.0,129.0,89.0,3.0,3.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,26.0,5.0,7.0,41.7
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,19-113,2003,17.0,6.0,668.0,2.0,0.0,0.0,0.0,5.0,1.0,0.27,0.0,0.27,0.27,0.27,1.9,1.9,0.2,0.25,0.03,0.28,0.25,0.28,7.4,18.0,7.0,0.0,38.9,2.43,0.94,0.11,0.29,0.1,0.1,0.1,125.0,164.0,76.2,1829.0,264.0,73.0,90.0,81.1,42.0,52.0,80.8,5.0,9.0,55.6,-0.2,5.0,3.0,6.0,2.0,10.0,155.0,9.0,1.0,0.0,25.0,4.0,8.0,0.0,0.0,0.0,0.0,128.0,22.0,14.0,10.0,140.0,1.0,6.0,3.0,0.0,2.0,10.0,10.0,24.0,3.23,16.0,0.0,1.0,2.0,4.0,3.0,0.4,2.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,1.0,6.0,1.0,4.0,9.0,44.4,5.0,222.0,55.0,24.8,27.0,92.0,103.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,308.0,0.0,22.0,126.0,192.0,52.0,299.0,9.0,23.0,39.1,10.0,1.0,242.0,1183.0,769.0,29.0,16.0,7.0,372.0,220.0,59.1,33.0,32.0,1.0,15.0,26.0,4.0,0.0,0.0,0.0,46.0,9.0,18.0,33.3
Kevin Agudelo,co COL,"FW,MF",Spezia,23-179,1998,21.0,10.0,1100.0,3.0,0.0,0.0,0.0,2.0,1.0,0.25,0.0,0.25,0.25,0.25,2.2,2.2,0.7,0.18,0.06,0.24,0.18,0.24,12.2,18.0,8.0,0.0,44.4,1.47,0.65,0.17,0.38,0.12,0.8,0.8,250.0,338.0,74.0,3684.0,1104.0,136.0,162.0,84.0,99.0,123.0,80.5,6.0,22.0,27.3,-0.7,9.0,26.0,11.0,2.0,34.0,327.0,11.0,1.0,0.0,112.0,5.0,10.0,4.0,3.0,1.0,0.0,250.0,47.0,41.0,277.0,28.0,16.0,3.0,1.0,1.0,9.0,17.0,16.0,33.0,2.7,16.0,0.0,6.0,2.0,3.0,3.0,0.25,1.0,0.0,0.0,0.0,0.0,2.0,34.0,22.0,13.0,16.0,5.0,8.0,17.0,47.1,9.0,347.0,79.0,22.8,74.0,182.0,91.0,24.0,0.0,0.0,24.0,13.0,3.0,0.0,528.0,9.0,84.0,275.0,235.0,34.0,517.0,25.0,48.0,52.1,26.0,1.0,401.0,2391.0,1409.0,66.0,30.0,10.0,439.0,339.0,77.2,18.0,46.0,0.0,37.0,25.0,0.0,0.0,0.0,0.0,90.0,15.0,18.0,45.5
Ola Aina,ng NGA,DF,Torino,25-216,1996,19.0,15.0,1257.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.3,0.02,0.09,0.11,0.02,0.11,14.0,9.0,3.0,0.0,33.3,0.64,0.21,0.0,0.0,0.03,-0.3,-0.3,462.0,652.0,70.9,8152.0,3509.0,223.0,258.0,86.4,177.0,236.0,75.0,55.0,121.0,45.5,-1.3,14.0,39.0,19.0,5.0,56.0,524.0,128.0,7.0,2.0,75.0,7.0,29.0,0.0,0.0,0.0,0.0,345.0,125.0,182.0,137.0,354.0,26.0,121.0,3.0,4.0,9.0,20.0,35.0,28.0,2.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,12.0,10.0,11.0,3.0,12.0,19.0,63.2,7.0,141.0,48.0,34.0,49.0,57.0,35.0,22.0,3.0,0.0,19.0,30.0,31.0,0.0,846.0,46.0,207.0,406.0,289.0,28.0,724.0,14.0,29.0,48.3,15.0,2.0,460.0,2518.0,1511.0,71.0,24.0,10.0,560.0,479.0,85.5,21.0,17.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,112.0,17.0,21.0,44.7
Marley Aké,fr FRA,FW,Juventus,21-127,2001,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,74.0,23.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,1.0,8.3,4.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,29-213,1992,9.0,4.0,303.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.12,0.01,0.13,0.12,0.13,3.4,2.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.2,-0.4,-0.4,87.0,107.0,81.3,1198.0,178.0,51.0,60.0,85.0,29.0,32.0,90.6,2.0,3.0,66.7,0.0,2.0,5.0,1.0,0.0,3.0,106.0,1.0,1.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,21.0,4.0,19.0,76.0,5.0,0.0,2.0,0.0,2.0,5.0,4.0,2.0,0.59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,5.0,8.0,1.0,3.0,10.0,30.0,7.0,101.0,28.0,27.7,23.0,54.0,24.0,4.0,2.0,0.0,2.0,3.0,4.0,0.0,160.0,8.0,38.0,93.0,40.0,1.0,160.0,7.0,12.0,58.3,8.0,0.0,114.0,436.0,221.0,4.0,3.0,0.0,125.0,103.0,82.4,4.0,5.0,0.0,13.0,10.0,0.0,0.0,1.0,0.0,23.0,6.0,7.0,46.2
Luis Alberto,es ESP,MF,Lazio,29-226,1992,33.0,26.0,2278.0,5.0,10.0,0.0,0.0,5.0,0.0,0.2,0.4,0.59,0.2,0.59,3.5,3.5,7.7,0.14,0.31,0.44,0.14,0.44,25.3,46.0,16.0,1.0,34.8,1.82,0.63,0.11,0.31,0.08,1.5,1.5,1585.0,1912.0,82.9,27035.0,8764.0,789.0,859.0,91.9,598.0,688.0,86.9,161.0,297.0,54.2,2.3,62.0,195.0,48.0,7.0,171.0,1716.0,196.0,77.0,12.0,305.0,77.0,50.0,100.0,43.0,37.0,3.0,1458.0,176.0,278.0,99.0,1761.0,24.0,11.0,8.0,6.0,18.0,65.0,33.0,108.0,4.27,73.0,26.0,2.0,3.0,3.0,16.0,0.63,7.0,6.0,1.0,2.0,0.0,0.0,31.0,18.0,9.0,12.0,10.0,11.0,45.0,24.4,34.0,411.0,105.0,25.5,113.0,187.0,111.0,29.0,4.0,0.0,25.0,21.0,6.0,0.0,2123.0,23.0,318.0,1198.0,775.0,39.0,1935.0,25.0,44.0,56.8,27.0,7.0,1571.0,7956.0,4717.0,193.0,88.0,9.0,1799.0,1648.0,91.6,16.0,28.0,0.0,17.0,26.0,1.0,0.0,0.0,0.0,182.0,11.0,15.0,42.3
Giorgio Altare,it ITA,DF,Cagliari,23-276,1998,17.0,15.0,1298.0,1.0,0.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,1.1,1.1,0.4,0.08,0.03,0.1,0.08,0.1,14.4,15.0,5.0,0.0,33.3,1.04,0.35,0.07,0.2,0.08,-0.1,-0.1,473.0,706.0,67.0,10833.0,4662.0,140.0,175.0,80.0,203.0,266.0,76.3,124.0,242.0,51.2,-0.4,7.0,45.0,8.0,4.0,47.0,628.0,78.0,17.0,0.0,87.0,19.0,14.0,0.0,0.0,0.0,0.0,331.0,97.0,278.0,136.0,416.0,70.0,61.0,1.0,4.0,21.0,18.0,15.0,22.0,1.53,15.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0,15.0,18.0,4.0,12.0,23.0,52.2,11.0,152.0,58.0,38.2,57.0,79.0,16.0,25.0,7.0,0.0,18.0,41.0,69.0,0.0,875.0,100.0,393.0,413.0,108.0,22.0,798.0,5.0,7.0,71.4,5.0,0.0,439.0,2241.0,1131.0,35.0,14.0,0.0,441.0,420.0,95.2,3.0,3.0,0.0,38.0,14.0,1.0,0.0,1.0,0.0,189.0,38.0,33.0,53.5
Kelvin Amian,fr FRA,DF,Spezia,24-093,1998,30.0,29.0,2466.0,1.0,1.0,0.0,0.0,9.0,2.0,0.04,0.04,0.07,0.04,0.07,2.3,2.3,1.1,0.08,0.04,0.12,0.08,0.12,27.4,25.0,7.0,0.0,28.0,0.91,0.26,0.04,0.14,0.09,-1.3,-1.3,849.0,1077.0,78.8,14134.0,6343.0,430.0,483.0,89.0,327.0,404.0,80.9,74.0,134.0,55.2,-0.1,12.0,54.0,11.0,3.0,66.0,820.0,257.0,21.0,1.0,168.0,11.0,16.0,0.0,0.0,0.0,0.0,608.0,298.0,171.0,87.0,695.0,38.0,236.0,2.0,4.0,24.0,41.0,38.0,25.0,0.91,19.0,1.0,1.0,2.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,59.0,34.0,38.0,14.0,7.0,21.0,37.0,56.8,16.0,408.0,141.0,34.6,217.0,136.0,55.0,66.0,23.0,0.0,43.0,43.0,71.0,0.0,1372.0,119.0,559.0,606.0,275.0,35.0,1120.0,18.0,27.0,66.7,18.0,0.0,706.0,3260.0,1691.0,58.0,15.0,4.0,809.0,716.0,88.5,20.0,20.0,1.0,37.0,14.0,1.0,0.0,0.0,0.0,135.0,40.0,36.0,52.6
Nadiem Amiri,de GER,"MF,FW",Genoa,25-197,1996,11.0,7.0,538.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,1.0,1.0,0.9,0.17,0.15,0.32,0.17,0.32,6.0,14.0,5.0,1.0,35.7,2.34,0.84,0.0,0.0,0.07,-1.0,-1.0,176.0,243.0,72.4,2919.0,823.0,89.0,107.0,83.2,69.0,83.0,83.1,16.0,44.0,36.4,0.1,15.0,13.0,5.0,1.0,18.0,210.0,33.0,13.0,1.0,35.0,7.0,6.0,12.0,2.0,7.0,0.0,170.0,20.0,53.0,21.0,209.0,8.0,2.0,1.0,1.0,6.0,11.0,4.0,21.0,3.51,16.0,4.0,1.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,3.0,5.0,3.0,3.0,8.0,37.5,5.0,119.0,35.0,29.4,20.0,60.0,39.0,7.0,0.0,0.0,7.0,4.0,0.0,0.0,334.0,1.0,29.0,187.0,145.0,20.0,303.0,11.0,20.0,55.0,11.0,0.0,230.0,1097.0,611.0,39.0,14.0,3.0,277.0,232.0,83.8,24.0,12.0,0.0,4.0,18.0,1.0,0.0,0.0,0.0,42.0,5.0,13.0,27.8
Ethan Ampadu,wls WAL,"MF,DF",Venezia,21-240,2000,27.0,24.0,2102.0,0.0,2.0,0.0,0.0,12.0,2.0,0.0,0.09,0.09,0.0,0.09,0.3,0.3,1.4,0.01,0.06,0.07,0.01,0.07,23.4,7.0,1.0,0.0,14.3,0.3,0.04,0.0,0.0,0.05,-0.3,-0.3,810.0,1079.0,75.1,16287.0,6153.0,294.0,355.0,82.8,380.0,451.0,84.3,124.0,235.0,52.8,0.6,14.0,76.0,13.0,5.0,89.0,973.0,106.0,36.0,2.0,169.0,25.0,19.0,0.0,0.0,0.0,0.0,681.0,139.0,259.0,152.0,763.0,46.0,69.0,7.0,5.0,22.0,30.0,25.0,36.0,1.54,34.0,1.0,1.0,0.0,0.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,72.0,41.0,40.0,25.0,7.0,19.0,43.0,44.2,24.0,403.0,118.0,29.3,196.0,176.0,31.0,52.0,14.0,0.0,38.0,54.0,66.0,0.0,1338.0,114.0,536.0,680.0,194.0,12.0,1239.0,9.0,13.0,69.2,10.0,0.0,699.0,3896.0,1966.0,67.0,24.0,4.0,767.0,710.0,92.6,8.0,13.0,1.0,51.0,25.0,0.0,0.0,0.0,0.0,248.0,59.0,35.0,62.8
Sofyan Amrabat,ma MAR,MF,Fiorentina,25-264,1996,22.0,7.0,854.0,1.0,0.0,0.0,0.0,5.0,0.0,0.11,0.0,0.11,0.11,0.11,0.2,0.2,0.1,0.02,0.02,0.04,0.02,0.04,9.5,4.0,3.0,0.0,75.0,0.42,0.32,0.25,0.33,0.05,0.8,0.8,530.0,589.0,90.0,11603.0,2381.0,161.0,176.0,91.5,255.0,274.0,93.1,107.0,121.0,88.4,-0.1,5.0,52.0,4.0,0.0,40.0,566.0,23.0,23.0,0.0,78.0,27.0,2.0,0.0,0.0,0.0,0.0,461.0,46.0,82.0,26.0,529.0,26.0,0.0,3.0,0.0,0.0,17.0,12.0,14.0,1.48,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,19.0,15.0,10.0,3.0,14.0,27.0,51.9,13.0,221.0,63.0,28.5,66.0,125.0,30.0,27.0,8.0,0.0,19.0,10.0,7.0,1.0,675.0,29.0,171.0,459.0,94.0,2.0,655.0,6.0,10.0,60.0,6.0,0.0,466.0,2477.0,908.0,28.0,4.0,1.0,487.0,471.0,96.7,5.0,6.0,0.0,26.0,15.0,0.0,0.0,0.0,0.0,103.0,9.0,17.0,34.6
Felipe Anderson,br BRA,FW,Lazio,29-027,1993,36.0,31.0,2708.0,5.0,5.0,0.0,0.0,2.0,0.0,0.17,0.17,0.33,0.17,0.33,4.6,4.6,6.6,0.15,0.22,0.37,0.15,0.37,30.1,37.0,13.0,0.0,35.1,1.23,0.43,0.14,0.38,0.13,0.4,0.4,1070.0,1371.0,78.0,16647.0,4463.0,611.0,708.0,86.3,354.0,448.0,79.0,78.0,131.0,59.5,-1.6,49.0,51.0,62.0,12.0,120.0,1294.0,77.0,7.0,2.0,199.0,29.0,69.0,13.0,8.0,2.0,1.0,1024.0,192.0,155.0,209.0,1075.0,42.0,26.0,6.0,3.0,18.0,68.0,52.0,93.0,3.09,76.0,3.0,6.0,1.0,7.0,14.0,0.47,10.0,0.0,4.0,0.0,0.0,0.0,73.0,43.0,31.0,30.0,12.0,26.0,89.0,29.2,63.0,741.0,170.0,22.9,175.0,328.0,238.0,61.0,5.0,1.0,56.0,37.0,16.0,1.0,1774.0,34.0,219.0,850.0,845.0,131.0,1699.0,55.0,108.0,50.9,61.0,7.0,1289.0,6933.0,4649.0,237.0,77.0,47.0,1589.0,1299.0,81.7,56.0,63.0,0.0,42.0,34.0,7.0,0.0,0.0,0.0,181.0,16.0,26.0,38.1
Ebenezer Annan,gh GHA,DF,Bologna,19-264,2002,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,36.4,66.0,27.0,2.0,2.0,100.0,2.0,4.0,50.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,5.0,6.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,18.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Cristian Ansaldi,ar ARG,DF,Torino,35-234,1986,17.0,4.0,609.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.44,0.44,0.0,0.44,0.3,0.3,1.4,0.04,0.2,0.24,0.04,0.24,6.8,6.0,1.0,0.0,16.7,0.89,0.15,0.0,0.0,0.04,-0.3,-0.3,259.0,368.0,70.4,5344.0,2602.0,107.0,119.0,89.9,97.0,133.0,72.9,50.0,99.0,50.5,1.6,15.0,38.0,12.0,8.0,42.0,291.0,77.0,8.0,1.0,36.0,17.0,30.0,8.0,4.0,1.0,0.0,164.0,73.0,131.0,91.0,204.0,9.0,61.0,0.0,2.0,11.0,7.0,15.0,23.0,3.4,15.0,3.0,2.0,2.0,1.0,5.0,0.74,4.0,0.0,0.0,1.0,0.0,0.0,17.0,7.0,11.0,5.0,1.0,7.0,10.0,70.0,3.0,77.0,22.0,28.6,30.0,26.0,21.0,10.0,1.0,0.0,9.0,4.0,8.0,0.0,440.0,23.0,104.0,181.0,191.0,18.0,367.0,4.0,12.0,33.3,5.0,0.0,279.0,1689.0,938.0,49.0,8.0,7.0,295.0,264.0,89.5,11.0,6.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,59.0,4.0,5.0,44.4
Janis Antiste,fr FRA,"FW,MF",Spezia,19-267,2002,16.0,8.0,711.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,1.4,1.4,0.3,0.18,0.04,0.22,0.18,0.22,7.9,11.0,2.0,0.0,18.2,1.39,0.25,0.09,0.5,0.13,-0.4,-0.4,124.0,188.0,66.0,1730.0,346.0,72.0,100.0,72.0,42.0,58.0,72.4,4.0,11.0,36.4,-0.3,4.0,4.0,7.0,3.0,7.0,170.0,18.0,0.0,1.0,39.0,1.0,7.0,0.0,0.0,0.0,0.0,116.0,34.0,38.0,24.0,128.0,19.0,5.0,2.0,2.0,2.0,8.0,11.0,11.0,1.39,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,3.0,7.0,7.0,5.0,16.0,31.3,11.0,175.0,52.0,29.7,33.0,54.0,88.0,9.0,1.0,0.0,8.0,7.0,6.0,0.0,280.0,7.0,53.0,118.0,126.0,44.0,263.0,7.0,16.0,43.8,7.0,2.0,156.0,643.0,343.0,14.0,3.0,6.0,314.0,182.0,58.0,16.0,16.0,0.0,14.0,6.0,4.0,0.0,0.0,0.0,37.0,15.0,21.0,41.7
Mattia Aramu,it ITA,"MF,FW",Venezia,26-363,1995,31.0,24.0,2036.0,7.0,4.0,3.0,4.0,6.0,0.0,0.31,0.18,0.49,0.18,0.35,6.9,3.9,4.2,0.31,0.19,0.49,0.17,0.36,22.6,57.0,16.0,17.0,28.1,2.52,0.71,0.07,0.25,0.07,0.1,0.1,517.0,781.0,66.2,9327.0,3315.0,240.0,292.0,82.2,192.0,257.0,74.7,73.0,186.0,39.2,-0.2,36.0,36.0,32.0,14.0,63.0,613.0,168.0,35.0,1.0,134.0,41.0,57.0,67.0,33.0,28.0,1.0,464.0,104.0,213.0,643.0,82.0,15.0,22.0,11.0,6.0,16.0,38.0,35.0,70.0,3.09,30.0,19.0,4.0,2.0,14.0,9.0,0.4,6.0,1.0,0.0,0.0,2.0,0.0,21.0,11.0,3.0,12.0,6.0,6.0,28.0,21.4,22.0,449.0,111.0,24.7,93.0,203.0,153.0,28.0,2.0,0.0,26.0,12.0,19.0,0.0,1047.0,24.0,111.0,474.0,520.0,42.0,881.0,14.0,33.0,42.4,16.0,3.0,656.0,3188.0,1599.0,90.0,23.0,7.0,886.0,658.0,74.3,28.0,27.0,0.0,30.0,84.0,7.0,1.0,1.0,0.0,117.0,14.0,40.0,25.9
Marko Arnautović,at AUT,FW,Bologna,33-023,1989,32.0,31.0,2604.0,14.0,1.0,2.0,3.0,6.0,0.0,0.48,0.03,0.52,0.41,0.45,14.5,12.3,4.2,0.5,0.15,0.65,0.43,0.57,28.9,88.0,32.0,3.0,36.4,3.04,1.11,0.14,0.38,0.14,-0.5,-0.3,658.0,898.0,73.3,9517.0,1580.0,378.0,493.0,76.7,218.0,282.0,77.3,32.0,51.0,62.7,-3.2,42.0,27.0,21.0,2.0,50.0,846.0,52.0,0.0,3.0,264.0,11.0,19.0,0.0,0.0,0.0,0.0,586.0,180.0,132.0,103.0,666.0,65.0,8.0,23.0,3.0,6.0,49.0,35.0,79.0,2.73,61.0,0.0,6.0,8.0,2.0,6.0,0.21,4.0,0.0,1.0,1.0,0.0,0.0,21.0,15.0,1.0,14.0,6.0,7.0,32.0,21.9,25.0,451.0,136.0,30.2,52.0,195.0,204.0,14.0,2.0,0.0,12.0,14.0,15.0,0.0,1217.0,20.0,81.0,559.0,648.0,181.0,1159.0,31.0,52.0,59.6,35.0,3.0,802.0,3509.0,1317.0,81.0,32.0,18.0,1480.0,961.0,64.9,90.0,38.0,0.0,47.0,26.0,13.0,0.0,0.0,0.0,112.0,49.0,53.0,48.0
